,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
572,102201,(204) 807-6957,WINNIPEG,Seven Oaks,RIVERGROVE,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
573,102477,(204) 813-6409,WINNIPEG,Inkster,INKSTER INDUSTRIAL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
574,102597,(431) 999-0783,WINNIPEG,ST. VITAL,VARENNES,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
575,9089,(204) 797-7029,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,36,"Rms 7,18,19 363 Enfield Crescent Winnipeg, MB",Happiness Is Inc.
576,1021,(204) 615-6700,WINNIPEG,ST. BONIFACE,NORWOOD EAST,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,38,"Gym is also included as licenced space 282 Niverville Avenue (Ave) Winnipeg, MB",Happiness Is.... Inc.
577,101106,(204) 797-2491,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,35,"Rooms 9,11 and gym 150 Howden Road Winnipeg, MB",Happiness Is...Inc.
578,102023,(204) 797-3793,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,43,"Rooms 21, 23 and Gym 320 ave de la Cathedrale avenue (av) Wpg, MB",Happiness Is...Inc Before and Afterschool Program (Provencher)
579,1022,(204) 956-2340,WINNIPEG,Downtown,BROADWAY ASSINIBOINE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"375  Assiniboine Avenue (Ave) Winnipeg, MB ",Harmony Day Care Centre Inc.
580,101459,(204) 453-1477,WINNIPEG,River Heights,GRANT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"611 Guelph Street Winnipeg, MB ",Harrow Co-operative Children's Centre Inc.
581,3038,(204) 453-1744,WINNIPEG,River Heights,GRANT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,76,"Harrow School - Rm 7,11,13,15,35 & Gym 550 Harrow  Street Winnipeg, MB",Harrow Co-operative Children's Centre Inc.
582,3073,(204) 775-7847,WINNIPEG,Downtown,DANIEL MCINTYRE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,24,"875 Alverstone Street Winnipeg, MB ",Harstone Children's Centre Inc.
583,102575,(204) 779-8274,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,20,"1070 Clifton Street Winnipeg, MB ",Harstone Children's Centre
584,9131,(204) 772-9288,WINNIPEG,Downtown,MINTO,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,32,"687 Minto Street Winnipeg, MB ",Harstone Children's Centre Inc.
585,100992,(204) 783-1522,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,24,"948 Sargent Avenue (Ave) Winnipeg, MB ",Harstone Children's Centre Inc.
586,101646,(204) 779-4585,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,64,"Room1,2,3,5,6 and Gym 1150 Sherburn Street Winnipeg, MB",Harstone Children's Centre Inc.
587,3016,(204) 783-6175,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"905 Sargent Avenue (Ave) Wpg, MB ",Harstone Children's Centre Inc.
588,7891,(204) 275-0879,WINNIPEG,ST. VITAL,ST. VITAL PERIMETER SOUTH,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Heather Ashton
589,9040,(204) 222-1233,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
590,102294,(204) 414-7198,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"15 Lafayette Bay Winnipeg, MB ",Heennegedara Wijesinghe
591,101340,(204) 996-9253,WINNIPEG,River East,KILDONAN DRIVE,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"Rooms K108, 204, MPR, Gym 1490 Henderson  Highway Winnipeg, MB",Henderson Early Learning Child Care Centre
592,9677,(204) 885-7140,WINNIPEG,ST. JAMES ASSINIBOINE,JAMESWOOD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,42,"Infant room, rooms 210, 119 & Gym 1 Braintree Crescent Winnipeg, MB",Heritage Park Children's Programs Inc.
593,3074,(204) 831-5950,WINNIPEG,ST. JAMES ASSINIBOINE,HERITAGE PARK,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,90,"Rooms 4, 5, 6, 7, 8, 9, Gym 47 Heritage Boulevard (Blvd) Winnipeg, MB",Heritage Park Children's Programs Inc.
594,101877,(204) 691-0311 Ext. 1,WINNIPEG,ST. VITAL,ST. VITAL PERIMETER SOUTH,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,124,"Preschool and Infant centre,MPR,Rm 3,gym 99 Highbury  Road Winnipeg, MB",The Young Men's and Young Women's Christian Association Of Winnipeg Inc.
595,101883,(204) 255-1359,WINNIPEG,ST. VITAL,DAKOTA CROSSING,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Weekends",8,None,Family or Group Child  Care Home *
596,102226,(204) 779-8196,WINNIPEG,River Heights,ROCKWOOD,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Hoa Ngo Falconer
597,9539,(204) 837-0729,WINNIPEG,ST. JAMES ASSINIBOINE,BOOTH,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,46,"408 Booth  Drive Wpg, MB ",Horizons Children's Centre Inc./Grace
598,1014,(204) 837-2015,WINNIPEG,ST. JAMES ASSINIBOINE,KING EDWARD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,64,"2nd floor, Rm. 1-6, gym 367 Hampton  Street Wpg, MB",Horizons Children's Centre Inc.
599,101768,(204) 831-9732,WINNIPEG,ST. JAMES ASSINIBOINE,BOOTH,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,80,"280 Booth Drive Winnipeg, MB ",Horizon's Children's Centre Inc.
600,1286,(204) 582-0743,WINNIPEG,Point Douglas,MYNARSKI,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,91,"1120 McPhillips Street Winnipeg, MB ",Huron Child Care Inc.
601,101897,(204) 509-6402,WINNIPEG,ST. BONIFACE,ISLAND LAKES,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,11,None,Family or Group Child  Care Home *
602,101803,(204) 414-6651,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"164 Bellflower Road Winnipeg, MB ",Inderpreet Barmi
603,102121,(204) 275-1416,WINNIPEG,Fort Garry,WILDWOOD,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, School Age",Weekdays,8,None,Indu Saul
604,3017,(204) 582-1755,WINNIPEG,Point Douglas,INKSTER - FARADAY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,73,"Preschool Rm, 15-S, 15-T, Gym, Library 633 Inkster Boulevard (Blvd) Winnipeg, MB",Inkster Community Child Care Inc.
605,100131,(204) 586-7950,WINNIPEG,Point Douglas,ROBERTSON,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,88,"MPR, Gym, Rm 131,132,133,137,144,148,149 550 Robertson Street Winnipeg, MB",Inspired by Wonder Inc.
606,101665,(204) 258-6800,WINNIPEG,Inkster,PACIFIC INDUSTRIAL,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"1155  Notre Dame  Avenue (Ave) Winnipeg, MB ",Inspired by Wonder Inc.
607,101909,(204) 619-2783,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
608,102499,(204) 417-6401,WINNIPEG,Point Douglas,ROBERTSON,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
609,101904,(204) 869-7166,WINNIPEG,Point Douglas,DUFFERIN,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,"503 Dufferin Avenue (Ave) Winnipeg, MB ",Irene Pantoja
610,101893,(204) 229-3329,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
611,100671,(204) 479-2967,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
612,100671,(204) 479-2967,WINNIPEG,Downtown,SARGENT PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
613,5535,(204) 694-2315,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
614,9583,(204) 255-9404,WINNIPEG,ST. VITAL,MEADOWOOD,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
615,5090,(204) 257-1852,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
616,5090,(204) 257-1852,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
617,101920,(204) 800-2597,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,7,"1049  Betournay Street Winnipeg, MB ",Family or Group Child  Care Home *
618,101920,(204) 800-2597,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,7,"1049  Betournay Street Winnipeg, MB ",Family or Group Child  Care Home *
619,101675,(204) 291-5821,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,4,None,Jade Buchannon
620,101675,(204) 291-5821,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,4,None,Jade Buchannon
621,100425,(204) 478-5389,WINNIPEG,Fort Garry,RICHMOND LAKES,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,32,"3 Marshall Crescent Winnipeg, MB ",James Child Care Inc.
622,100425,(204) 478-5389,WINNIPEG,Fort Garry,RICHMOND LAKES,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,32,"3 Marshall Crescent Winnipeg, MB ",James Child Care Inc.
623,3018,(204) 452-5282,WINNIPEG,Fort Garry,CRESCENT PARK,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Lower Level 1226 Waller Avenue (Ave) Winnipeg, MB",James Child Care Inc.
624,50446,(204) 661-9199,WINNIPEG,River East,SPRINGFIELD NORTH,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"106 Dunits Drive Winnipeg, MB ",Janice Panteluk
625,101856,(204) 421-0144,WINNIPEG,Inkster,INKSTER GARDENS,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
626,102305,(204) 417-2772,WINNIPEG,ST. BONIFACE,SAGE CREEK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
627,100222,(204) 471-6549,WINNIPEG,Transcona,CANTERBURY PARK,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Jennifer Fehr
628,102609,(204) 299-2130,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,"41 Kurt Avenue (Ave) Winnipeg, MB ",Jennifer Monchamp
629,102609,(204) 299-2130,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,"41 Kurt Avenue (Ave) Winnipeg, MB ",Jennifer Monchamp
630,102525,(204) 960-1302,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,11,None,Family or Group Child  Care Home *
631,102163,(204) 272-0926,WINNIPEG,Assiniboine South,TUXEDO INDUSTRIAL PARK,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,10,"91 Brookfield Crescent Winnipeg, MB ",Jiawei Xu & Yuanyuan Ai
632,102233,(204) 960-5955,WINNIPEG,Inkster,SHAUGHNESSY PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
633,101316,(204) 410-2100,WINNIPEG,River East,SPRINGFIELD NORTH,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
634,101919,(204) 663-9838,WINNIPEG,River East,EAST ELMWOOD,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
635,101919,(204) 663-9838,WINNIPEG,River East,EAST ELMWOOD,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
636,100989,(204) 415-7167,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age",Weekdays,8,None,JoAnne Cusson
637,102468,(204) 414-0376,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
638,9146,(204) 338-5644,WINNIPEG,Seven Oaks,RIVERBEND,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
639,9653,(204) 224-5090,WINNIPEG,Transcona,MISSION GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Jocelyn Dankewych
640,9162,(204) 275-5047,WINNIPEG,Fort Garry,RICHMOND LAKES,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,12,None,Joelle Hutcheson
641,9162,(204) 275-5047,WINNIPEG,Fort Garry,RICHMOND LAKES,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,12,None,Joelle Hutcheson
642,100533,(204) 256-6543,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
643,102200,(204) 421-5373,WINNIPEG,Downtown,DANIEL MCINTYRE,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
644,101554,(204) 257-7788,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",6,None,Family or Group Child  Care Home *
645,100214,(204) 661-2092,WINNIPEG,River East,EAST ELMWOOD,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"77 Carmen Avenue (Ave) Winnipeg, MB ",Joyce Mantik
646,101446,(204) 632-7995,WINNIPEG,River East,EAST ELMWOOD,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
647,101505,(204) 416-2941,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
648,3020,(204) 582-4070,WINNIPEG,Point Douglas,WILLIAM WHYTE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,46,"795 Selkirk Avenue (Ave) Winnipeg, MB ",K.E.E.P. Child Care Inc.
649,102401,(204) 488-7621,WINNIPEG,River Heights,GRANT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,107,"Room 7,8,10,11,12 & Gym 1600  Grant  Avenue (Ave) Winnipeg, MB",K.I.D.S. Kids in day care are super Inc.
650,102078,(204) 275-3350,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,135,"102,105-6,115,121,124,128,131-32,159,241 615  Kirkbridge Drive Winnipeg, MB",K.I.D.S. Kids in Day Care are Super Inc.
651,102078,(204) 275-3350,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,135,"102,105-6,115,121,124,128,131-32,159,241 615  Kirkbridge Drive Winnipeg, MB",K.I.D.S. Kids in Day Care are Super Inc.
652,101091,(204) 488-8948,WINNIPEG,River Heights,GRANT PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Parish Hall and Nursery Room 755 Elm Street Winnipeg, MB",K.I.D.S. Kids in day care are super Inc.
653,1251,(204) 488-8948,WINNIPEG,River Heights,CENTRAL RIVER HEIGHTS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,86,"Room 106,107,112,113,115,116 691 Montrose Street Winnipeg, MB",K.I.D.S. Kids in day care are super Inc.
654,1251,(204) 488-8948,WINNIPEG,River Heights,CENTRAL RIVER HEIGHTS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,86,"Room 106,107,112,113,115,116 691 Montrose Street Winnipeg, MB",K.I.D.S. Kids in day care are super Inc.
655,101061,(204) 953-5820 Ext. 63,WINNIPEG,Downtown,CENTENNIAL,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,16,"455  McDermot Avenue (Ave) Winnipeg, MB ",Ka Ni Kanichihk Inc
656,5569,(204) 885-4666,WINNIPEG,ST. JAMES ASSINIBOINE,STURGEON CREEK,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Karen Desmarais
657,50849,(204) 254-2294,WINNIPEG,ST. VITAL,NORBERRY,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
658,50849,(204) 254-2294,WINNIPEG,ST. VITAL,NORBERRY,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
659,9471,(204) 255-8664,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
660,9471,(204) 255-8664,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
661,102416,(204) 881-4249,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,"11 Manipogo Bay Winnipeg, MB ",Khadijat Busari
662,102491,(431) 999-0584,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Khoosheh Jalali
663,1026,(204) 338-3193,WINNIPEG,Seven Oaks,SEVEN OAKS,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,103,"172 Smithfield Avenue (Ave) Winnipeg, MB ",Kidi-Garden Day Nurseries Inc.
664,101384,(204) 504-4289,WINNIPEG,Downtown,THE FORKS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"158 Fort  Street Winnipeg, MB ",Kids & Company Ltd.
665,9798,(204) 832-6000,WINNIPEG,Assiniboine South,VIALOUX,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Weekends",50,"3708 Roblin Boulevard (Blvd) Winnipeg, MB ",Kidz Korner Infant Childcare Inc.
666,9294,(204) 661-9474,WINNIPEG,River East,ROSSMERE - B,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"lower level: gym,Rm 3,7,14 211 Kimberly Avenue (Ave) Winnipeg, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
667,9054,(204) 889-6240,WINNIPEG,ST. JAMES ASSINIBOINE,BUCHANAN,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age",Weekdays,8,None,Kimberly Onagi
668,1243,(204) 663-6691,WINNIPEG,River East,SPRINGFIELD NORTH,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,124,"1511 Gateway Road Winnipeg, MB ",KinderWorld Day Care Inc.
669,1027,(204) 275-8688,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,89,"Unit C, D, E, 230 Dalhousie Drive Winnipeg, MB",Kings Park Day Care Centre Inc.
670,1027,(204) 275-8688,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,89,"Unit C, D, E, 230 Dalhousie Drive Winnipeg, MB",Kings Park Day Care Centre Inc.
671,1028,(204) 943-1795,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,76,"406  Edmonton Street Winnipeg, MB ",Knox Day Nursery Inc.
672,100798,(204) 949-0753,WINNIPEG,Point Douglas,SOUTH POINT DOUGLAS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,38,"134 1/2 Higgins Avenue (Ave) Winnipeg, MB ",Centre for Aboriginal Human Resource Development Inc.
673,9640,(204) 989-6246,WINNIPEG,Point Douglas,SOUTH POINT DOUGLAS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"100 - 181 Higgins Avenue (Ave) Winnipeg, MB ",Centre for Aboriginal Human Resource Development Inc.
674,102262,(204) 801-8910,WINNIPEG,Seven Oaks,MANDALAY WEST,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
675,101322,(204) 945-8455,WINNIPEG,Downtown,SOUTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,102,"300 - 234  Donald Street N Winnipeg, MB ",Provincial Employees Care for Kids Co-op
676,3005,(204) 832-5802,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,164,"102,103,106,108,109,DC1,DC2,gym, inf/PS 55 Kay Crescent Winnipeg, MB",Lakewood Children's Centre Inc.
677,102082,(204) 668-9881,WINNIPEG,River East,ROSSMERE - A,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"555 Paufeld Drive Winnipeg, MB ",Laugh 'N' Learn School Age Centre Inc.
678,9826,(204) 668-3050,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,43,"Hut 1 and Hut 2 in Donwood School 400 Donwood Drive Winnipeg, MB",Laugh 'N' Learn School Age Centre Inc.
679,3021,(204) 774-1165,WINNIPEG,Downtown,WOLSELEY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"lower level, fireplace rm, gym,main rm 980 Palmerston Avenue (Ave) Winnipeg, MB",Laura Secord Community Child Care Inc.
680,101899,(204) 233-7491,WINNIPEG,ST. BONIFACE,NORTH ST. BONIFACE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,179,"300 rue Aubert Winnipeg, MB",Le P'tit Bonheur Inc. (Tache)
